Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0400697686942522,-0.0301591329458242,0.000371333298005507,0,0,0,1.88613291733365,0.0050702291567137,-5.51469585162414E-20,4.12763125663961E-18,0.00818453501495823,2.39265404580209E-19,0.0050702291567137,0,0,0,0,0,0,package://tm20/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tm20/meshes/base_link.STL,,Based-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,0.0189657463402811,0.0922714316632484,-1.71020427749968E-08,0,0,0,4.05667649114356,0.0160874622587955,0.000559447400202893,2.54722136005386E-09,0.0162282353076787,-3.33268329007117E-09,0.020031744926952,0,0,0,0,0,0,package://tm20/meshes/link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tm20/meshes/link_1.STL,,Joint 1-2,Origin_joint_1,Axis_joint_1,joint_1,revolute,-0.04007,-0.00037133,0.015451,1.5708,0,-2.2375,base_link,0,1,0,150,1.5,-4.71,4.71,,,,,,,,
link_2,-8.82870714327688E-07,0.264103333228012,-0.0219076433375363,0,0,0,11.2499989282845,0.640205873644307,-2.76304494495545E-10,3.62542315335279E-08,0.031423604733966,0.000127480919462523,0.634180415971867,0,0,0,0,0,0,package://tm20/meshes/link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tm20/meshes/link_2.STL,,Joint 2-3,Origin_joint_2,Axis_joint_2,joint_2,revolute,0.18555,0.085,0,1.5708,-1.5658,-1.5708,link_1,0,0,1,150,1.5,-3.14,3.14,,,,,,,,
link_3,-0.173489863234386,0.238001062010778,-1.35712359454476E-07,0,0,0,6.1769037404811,0.221343828448274,0.0205047081572142,2.50992716957499E-08,0.0147828583469994,3.10988790027831E-07,0.227120909998032,0,0,0,0,0,0,package://tm20/meshes/link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tm20/meshes/link_3.STL,,Joint 3-1,Origin_joint_3,Axis_joint_3,joint_3,revolute,0,0.6361,0,-1.5708,1.5312,-1.5797,link_2,0.99922,0.039561,0,120,1.2,-2.9,2.9,,,,,,,,
link_4,0.0663637527589776,-0.00370687046376728,1.84746346457154E-07,0,0,0,0.839977376239344,0.00145990175132064,-1.91697046890031E-05,1.19293051944937E-10,0.000989000686971487,-1.27891861258721E-10,0.00159788808995308,0,0,0,0,0,0,package://tm20/meshes/link_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tm20/meshes/link_4.STL,,Joint 4-2,Origin_joint_4,Axis_joint_4,joint_4,revolute,0,0.55558,0,3.1399,0,3.1416,link_3,1,0,0,100,2,-3.14,3.14,,,,,,,,
link_5,-0.0807575149461734,4.96036615948992E-09,0.0548437699833834,0,0,0,1.58233690883439,0.00483103411282054,-3.06296003182082E-10,0.000365564296430078,0.00512517949426285,1.2607662076879E-10,0.00165095194484361,0,0,0,0,0,0,package://tm20/meshes/link_5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tm20/meshes/link_5.STL,,Joint 5-2,Origin_joint_5,Axis_joint_5,joint_5,revolute,0.060207,0.058537,0,1.5672,0,-1.5708,link_4,1,0,0,80,1,-3.14,3.14,,,,,,,,
link_6,0.000246303550202637,-6.05906099422349E-05,-0.0130484815348544,0,0,0,0.0447520469467218,3.94471396438197E-06,-2.80831383595325E-09,2.44349962793948E-07,2.73620243472286E-05,-1.17779567676949E-09,2.72774629460509E-05,0,0,0,0,0,0,package://tm20/meshes/link_6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tm20/meshes/link_6.STL,,Intel D435-2,Origin_joint_6,,joint_6,fixed,-0.01348,-0.0014664,0.10695,0,-0.031485,-1.5886,link_5,0,0,0,,,,,,,,,,,,
end_effector_based,-5.55111512312578E-17,0.0647450804016083,4.44089209850063E-16,0,0,0,0.235605724415017,0.000139619184797969,-6.09863722023096E-20,-4.07634605866132E-20,0.000171131544908061,1.94817577868489E-20,0.000144541694172969,0,0,0,0,0,0,package://tm20/meshes/end_effector_based.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tm20/meshes/end_effector_based.STL,,Gripper_part 1-4,Origin_joint_7,Axis_joint_7,joint_7,fixed,-0.00047631,-0.0555,1.5002E-05,1.5702,-0.03148,-3.1237,link_6,0,0,0,,,,,,,,,,,,
gripper_left,-0.00840527779716813,0.018930921588884,0.01,0,0,0,0.0248100000000001,1.09882737038997E-05,8.40949214026619E-07,7.74241053349634E-21,1.62522617971585E-06,-9.03446665030417E-20,1.08944961336155E-05,0,0,0,0,0,0,package://tm20/meshes/gripper_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tm20/meshes/gripper_left.STL,,Gripper_hand-1,Origin_joint_8,Axis_joint_8,joint_8,prismatic,0,0.14178,0.01,3.1416,0,0,end_effector_based,1,0,0,20,0.2,-0.02,0,,,,,,,,
gripper_right,-0.00976669252550716,0.0189309215888843,0.00999999999999979,0,0,0,0.02481,1.09882737038996E-05,8.4094921402657E-07,-7.49094762728022E-21,1.62522617971584E-06,6.76137432700845E-20,1.08944961336155E-05,0,0,0,0,0,0,package://tm20/meshes/gripper_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tm20/meshes/gripper_right.STL,,Gripper_hand-2,Origin_joint_9,Axis_joint_9,joint_9,prismatic,0,0.14178,-0.01,0,0,-3.1416,end_effector_based,1,0,0,20,0.2,-0.02,0,,,,,,,,
